1: 24.10.2014.19.2.38.227
#BESTUTMA,COM1,0,56.5,FINESTEERING,1815,493268.800,00000000,eb16,6988;SOL_COMPUTED,PSRDIFF,30,T,4467786.4845,434255.6870,666.3792,52.1000,WGS84,3.1265,2.3124,5.4570,"0",229.000,0.000,16,13,0,0,0,08,0,01*c6e4220f
83: 24.10.2014.19.2.44.708
#BESTVELA,COM1,0,56.5,FINESTEERING,1815,493269.000,00000000,827b,6988;SOL_COMPUTED,PSRDIFF,0.150,229.200,0.0045,252.557850,0.0119,0.0*acdae6b4
84: 24.10.2014.19.2.44.804
#BESTUTMA,COM1,0,56.5,FINESTEERING,1815,493269.000,00000000,eb16,6988;SOL_COMPUTED,PSRDIFF,30,T,4467786.2351,434255.9516,666.2701,52.1000,WGS84,3.1610,2.3672,5.4692,"0",229.200,0.000,15,12,0,0,0,08,0,01*0de7cf8e
85: 24.10.2014.19.2.44.916
#BESTVELA,COM1,0,57.5,FINESTEERING,1815,493269.200,00000000,827b,6988;SOL_COMPUTED,PSRDIFF,0.150,229.400,0.0067,112.795823,-0.0011,0.0*8e3d6620
86: 24.10.2014.19.2.44.995
#BESTUTMA,COM1,0,57.5,FINESTEERING,1815,493269.200,00000000,eb16,6988;SOL_COMPUTED,PSRDIFF,30,T,4467786.2333,434255.9501,666.2688,52.1000,WGS84,3.1659,2.3708,5.4778,"0",229.400,0.000,16,12,0,0,0,08,0,01*22be50f8
87: 24.10.2014.19.2.45.107
#BESTVELA,COM1,0,57.5,FINESTEERING,1815,493269.400,00000000,827b,6988;SOL_COMPUTED,PSRDIFF,0.150,229.600,0.0633,324.283527,0.0173,0.0*4c13e940
88: 24.10.2014.19.2.45.203
#BESTUTMA,COM1,0,57.5,FINESTEERING,1815,493269.400,00000000,eb16,6988;SOL_COMPUTED,PSRDIFF,30,T,4467786.4416,434255.7090,666.3800,52.1000,WGS84,3.1419,2.3252,5.4824,"0",229.600,0.000,17,13,0,0,0,08,0,01*a05c60fc
89: 24.10.2014.19.2.45.314
#BESTVELA,COM1,0,57.5,FINESTEERING,1815,493269.600,00000000,827b,6988;SOL_COMPUTED,PSRDIFF,0.150,229.800,0.0122,294.632389,0.0071,0.0*16ccb2c3
90: 24.10.2014.19.2.45.394
#BESTUTMA,COM1,0,57.5,FINESTEERING,1815,493269.600,00000000,eb16,6988;SOL_COMPUTED,PSRDIFF,30,T,4467786.4379,434255.6913,666.3979,52.1000,WGS84,3.1456,2.3269,5.4907,"0",229.800,0.000,18,13,0,0,0,08,0,01*c24b5be2
91: 24.10.2014.19.2.45.506
#BESTVELA,COM1,0,57.5,FINESTEERING,1815,493269.800,00000000,827b,6988;SOL_COMPUTED,PSRDIFF,0.150,230.000,0.0099,68.615102,0.0179,0.0*692b731d
92: 24.10.2014.19.2.45.602
#BESTUTMA,COM1,0,57.5,FINESTEERING,1815,493269.800,00000000,eb16,6988;SOL_COMPUTED,PSRDIFF,30,T,4467786.2092,434255.9299,666.2966,52.1000,WGS84,3.1802,2.3816,5.5030,"0",230.000,0.000,17,12,0,0,0,08,0,01*064ae741
93: 24.10.2014.19.2.45.713
#BESTVELA,COM1,0,57.5,FINESTEERING,1815,493270.000,00000000,827b,6988;SOL_COMPUTED,PSRDIFF,0.150,230.200,0.0208,141.460408,0.0184,0.0*1f0d901d
94: 24.10.2014.19.2.45.793
#BESTUTMA,COM1,0,57.5,FINESTEERING,1815,493270.000,00000000,eb16,6988;SOL_COMPUTED,PSRDIFF,30,T,4467786.4454,434255.6705,666.3973,52.1000,WGS84,3.1546,2.3330,5.5075,"0",230.200,0.000,18,13,0,0,0,08,0,01*91f910e9
95: 24.10.2014.19.2.45.905
#BESTVELA,COM1,0,58.5,FINESTEERING,1815,493270.200,00000000,827b,6988;SOL_COMPUTED,PSRDIFF,0.150,230.400,0.0168,0.366735,0.0078,0.0*cd0b20ff
96: 24.10.2014.19.2.46.0
#BESTUTMA,COM1,0,58.5,FINESTEERING,1815,493270.200,00000000,eb16,6988;SOL_COMPUTED,PSRDIFF,30,T,4467786.2095,434255.9290,666.2882,52.1000,WGS84,3.1897,2.3887,5.5199,"0",230.400,0.000,16,12,0,0,0,08,0,01*25921ea1
97: 24.10.2014.19.2.46.112
#BESTVELA,COM1,0,58.5,FINESTEERING,1815,493270.400,00000000,827b,6988;SOL_COMPUTED,PSRDIFF,0.150,230.600,0.0313,344.766358,0.0166,0.0*cf0a1b51
98: 24.10.2014.19.2.46.191
#BESTUTMA,COM1,0,58.5,FINESTEERING,1815,493270.400,00000000,eb16,6988;SOL_COMPUTED,PSRDIFF,30,T,4467786.4302,434255.6832,666.3915,52.1000,WGS84,3.1647,2.3413,5.5245,"0",230.600,0.000,18,13,0,0,0,08,0,01*a76ec278
99: 24.10.2014.19.2.46.303
#BESTVELA,COM1,0,58.5,FINESTEERING,1815,493270.600,00000000,827b,6988;SOL_COMPUTED,PSRDIFF,0.150,230.800,0.0149,82.098559,-0.0297,0.0*bcd97158
100: 24.10.2014.19.2.46.399
